date,close_price,open_price,high_price,low_price,is_complete,volume
2023-09-16 07:00:00+00:00,174.25,173.09,175.17,172.37,True,4888
2023-09-16 08:00:00+00:00,174.82,174.26,174.82,172.83,True,2246
2023-09-16 09:00:00+00:00,174.50,174.83,174.99,173.03,True,1804
2023-09-16 10:00:00+00:00,173.93,174.50,174.68,172.42,True,2540
2023-09-16 11:00:00+00:00,174.04,172.53,174.33,172.24,True,3149
2023-09-16 12:00:00+00:00,173.04,174.06,174.61,172.48,True,2406
2023-09-16 13:00:00+00:00,174.65,174.44,174.65,172.74,True,1944
2023-09-16 14:00:00+00:00,175.34,174.66,175.40,173.22,True,1560
2023-09-16 15:00:00+00:00,173.07,173.92,175.53,173.07,True,1758
2023-09-17 07:00:00+00:00,173.25,174.48,175.00,172.61,True,2892
2023-09-17 08:00:00+00:00,174.75,174.65,175.54,173.25,True,3397
2023-09-17 09:00:00+00:00,175.21,173.35,175.58,173.35,True,2070
2023-09-17 10:00:00+00:00,173.61,173.80,175.25,173.49,True,1276
2023-09-17 11:00:00+00:00,175.15,175.02,175.42,173.47,True,2391
2023-09-17 12:00:00+00:00,174.05,175.15,175.53,173.74,True,1721
2023-09-17 13:00:00+00:00,174.30,175.45,175.71,173.93,True,1186
2023-09-17 14:00:00+00:00,174.21,175.71,175.77,173.91,True,1709
2023-09-17 15:00:00+00:00,173.54,175.62,175.64,173.54,True,1394
2023-09-18 06:00:00+00:00,174.48,174.48,174.48,174.48,True,6747
2023-09-18 07:00:00+00:00,174.15,174.48,174.66,174.00,True,289646
2023-09-18 08:00:00+00:00,173.94,174.17,174.45,173.81,True,168470
2023-09-18 09:00:00+00:00,173.39,173.94,174.04,173.30,True,206969
2023-09-18 10:00:00+00:00,173.41,173.39,173.69,173.10,True,143245
2023-09-18 11:00:00+00:00,172.86,173.39,173.50,172.52,True,352887
2023-09-18 12:00:00+00:00,172.96,172.87,173.06,172.60,True,150080
2023-09-18 13:00:00+00:00,172.71,172.93,172.97,172.54,True,112426
2023-09-18 14:00:00+00:00,172.59,172.71,172.80,172.55,True,119073
2023-09-18 15:00:00+00:00,172.65,172.58,172.88,172.57,True,109939
2023-09-18 16:00:00+00:00,172.23,172.65,172.88,172.21,True,143646
2023-09-18 17:00:00+00:00,172.45,172.24,172.57,172.05,True,156297
2023-09-18 18:00:00+00:00,172.68,172.45,172.69,172.30,True,27024
2023-09-18 19:00:00+00:00,172.71,172.68,172.98,172.55,True,42543
2023-09-18 20:00:00+00:00,172.80,172.71,172.89,172.59,True,25927
2023-09-19 06:00:00+00:00,172.99,172.99,172.99,172.99,True,3412
2023-09-19 07:00:00+00:00,172.91,172.99,173.94,172.16,True,400505
2023-09-19 08:00:00+00:00,171.72,172.92,173.00,171.10,True,666376
2023-09-19 09:00:00+00:00,170.96,171.72,171.77,170.51,True,524338
2023-09-19 10:00:00+00:00,171.00,170.96,171.34,170.60,True,262533
2023-09-19 11:00:00+00:00,171.01,171.00,171.07,170.40,True,392300
2023-09-19 12:00:00+00:00,169.38,171.01,171.05,169.12,True,853788
2023-09-19 13:00:00+00:00,170.22,169.38,170.42,169.28,True,355696
2023-09-19 14:00:00+00:00,170.25,170.22,170.39,169.55,True,250896
2023-09-19 15:00:00+00:00,170.48,170.25,170.71,169.98,True,185749
2023-09-19 16:00:00+00:00,170.12,170.05,170.48,170.05,True,54057
2023-09-19 17:00:00+00:00,170.14,170.12,170.33,170.05,True,46056
2023-09-19 18:00:00+00:00,169.56,170.13,170.18,169.51,True,73747
2023-09-19 19:00:00+00:00,169.20,169.56,169.85,169.10,True,117241
2023-09-19 20:00:00+00:00,168.93,169.19,169.45,168.60,True,136165
2023-09-20 06:00:00+00:00,169.30,169.30,169.30,169.30,True,3041
2023-09-20 07:00:00+00:00,167.64,169.30,170.25,167.10,True,898913
2023-09-20 08:00:00+00:00,168.64,167.61,168.75,167.50,True,484301
2023-09-20 09:00:00+00:00,169.60,168.64,169.94,168.64,True,577284
2023-09-20 10:00:00+00:00,168.98,169.60,169.82,168.75,True,217943
2023-09-20 11:00:00+00:00,169.29,168.97,169.50,168.58,True,189567
2023-09-20 12:00:00+00:00,169.39,169.29,169.70,169.12,True,149109
2023-09-20 13:00:00+00:00,169.90,169.39,170.08,169.38,True,238531
2023-09-20 14:00:00+00:00,169.21,169.91,169.99,169.01,True,253543
2023-09-20 15:00:00+00:00,169.19,169.20,169.62,168.91,True,182622
2023-09-20 16:00:00+00:00,169.35,169.48,169.90,168.57,True,101926
2023-09-20 17:00:00+00:00,169.43,169.35,169.51,169.03,True,29480
2023-09-20 18:00:00+00:00,169.56,169.43,169.57,169.19,True,36611
2023-09-20 19:00:00+00:00,169.24,169.56,169.77,169.13,True,38030
2023-09-20 20:00:00+00:00,169.11,169.24,169.48,169.00,True,22743
2023-09-21 06:00:00+00:00,168.50,168.50,168.50,168.50,True,7268
2023-09-21 07:00:00+00:00,168.67,168.55,169.38,168.12,True,347794
2023-09-21 08:00:00+00:00,168.06,168.67,168.69,168.01,True,269626
2023-09-21 09:00:00+00:00,167.42,168.06,168.38,167.41,True,438709
2023-09-21 10:00:00+00:00,168.10,167.42,168.37,167.41,True,154869
2023-09-21 11:00:00+00:00,167.74,168.13,168.25,167.50,True,129801
2023-09-21 12:00:00+00:00,166.56,167.73,167.80,166.55,True,637978
2023-09-21 13:00:00+00:00,167.16,166.55,167.54,166.50,True,239481
2023-09-21 14:00:00+00:00,166.82,167.17,167.33,166.70,True,136334
2023-09-21 15:00:00+00:00,166.05,166.82,166.86,165.72,True,316874
2023-09-21 16:00:00+00:00,166.38,166.28,166.59,166.05,True,91960
2023-09-21 17:00:00+00:00,166.13,166.37,166.48,166.01,True,52483
2023-09-21 18:00:00+00:00,166.20,166.14,166.28,165.74,True,124391
2023-09-21 19:00:00+00:00,166.00,166.19,166.24,165.78,True,47554
2023-09-21 20:00:00+00:00,165.85,166.00,166.12,165.75,True,43820
2023-09-22 06:00:00+00:00,166.12,166.12,166.12,166.12,True,1864
2023-09-22 07:00:00+00:00,166.14,166.15,167.00,165.15,True,495072
2023-09-22 08:00:00+00:00,165.58,166.13,166.42,165.10,True,323523
2023-09-22 09:00:00+00:00,165.66,165.59,165.89,165.11,True,169308
2023-09-22 10:00:00+00:00,165.78,165.67,166.13,165.32,True,144170
2023-09-22 11:00:00+00:00,166.03,165.78,166.35,165.55,True,133085
2023-09-22 12:00:00+00:00,166.47,166.03,166.48,165.88,True,136507
2023-09-22 13:00:00+00:00,166.73,166.48,166.90,166.19,True,275289
2023-09-22 14:00:00+00:00,166.79,166.73,166.89,166.46,True,211816
2023-09-22 15:00:00+00:00,166.70,166.78,166.88,166.14,True,122787
2023-09-22 16:00:00+00:00,166.77,166.69,166.84,166.52,True,62140
2023-09-22 17:00:00+00:00,166.90,166.77,166.96,166.55,True,56890
2023-09-22 18:00:00+00:00,166.69,166.90,166.98,166.59,True,36205
2023-09-22 19:00:00+00:00,166.64,166.69,166.83,166.60,True,32871
2023-09-22 20:00:00+00:00,166.70,166.68,166.79,166.45,True,53535
2023-09-23 07:00:00+00:00,168.36,166.03,168.77,165.90,True,5039
2023-09-23 08:00:00+00:00,166.63,168.36,169.30,166.16,True,3769
2023-09-23 09:00:00+00:00,167.11,167.98,168.64,166.63,True,2766
2023-09-23 10:00:00+00:00,167.28,167.10,168.76,166.98,True,2434
2023-09-23 11:00:00+00:00,168.51,168.63,169.27,167.08,True,2953
2023-09-23 12:00:00+00:00,167.50,168.51,170.29,167.00,True,6134
2023-09-23 13:00:00+00:00,167.83,167.49,168.95,166.32,True,2320
2023-09-23 14:00:00+00:00,168.86,167.84,170.93,166.51,True,3144
2023-09-23 15:00:00+00:00,167.30,170.18,171.00,167.27,True,4432
2023-09-24 07:00:00+00:00,168.68,167.30,169.16,167.14,True,3815
2023-09-24 08:00:00+00:00,168.74,168.68,169.16,167.10,True,2058
2023-09-24 09:00:00+00:00,168.81,167.39,168.91,167.07,True,2014
2023-09-24 10:00:00+00:00,168.50,168.81,168.86,167.11,True,1809
2023-09-24 11:00:00+00:00,167.47,168.50,169.28,167.06,True,3237
2023-09-24 12:00:00+00:00,167.32,167.46,169.27,167.18,True,2183
2023-09-24 13:00:00+00:00,167.35,167.31,169.07,167.30,True,2057
